neighbourhood,OBJECTID,Hood_ID,assault,auto_theft,break_and_enter,robbery,theft_over,homicide,shooting,violent_crime,theft,pop,pop_density,n_children,n_youth,n_seniors,perc_low_income,n_lat_american,Immigrants,n_aboriginal_identity,n_visible_minority,south_asian,Chinese,Black,Filipino,Arab,southeast_asian,west_asian,Korean,Japanese,not_visible_minority,unemp_rate,n_female,n_postsecondary,n_asian,perc_children,perc_youth,perc_seniors,perc_lat_american,perc_immigrants,perc_aboriginal,perc_visible_minority,perc_south_asian,perc_chinese,perc_black,perc_Filipino,perc_Arab,perc_southeast_asian,perc_west_asian,perc_Korean,perc_Japanese,perc_not_visible_minority,perc_female,perc_postsecondary,perc_asian
Agincourt North,80,129,78,16,49,13,5,0,0,78,34,29113,3929,3840,3705,6045,17.5,170,19995,30,26365,5315,16460,1340,1420,275,260,125,70,60,2465,9.8,15200,10120,23710,13.189983856009343,12.726273486071516,20.763919898327206,0.583931576958747,68.68065812523615,0.103046748875073,90.56091780304331,18.256449009033766,56.538316216123384,4.602754783086594,4.877546113420122,0.9445951980215025,0.893071823583966,0.4293614536461375,0.24044241404183697,0.206093497750146,8.46700786590183,52.21035276337032,34.76110328719129,81.44128052759936
Agincourt South-Malvern West,81,128,133,27,61,21,12,0,3,136,60,23757,3034,3075,3360,4105,18.7,230,15095,70,20155,4190,11110,1545,1280,300,155,375,140,40,3320,9.8,12145,9570,17290,12.943553478974618,14.143199898977144,17.279117733720586,0.9681357073704593,63.539167403291664,0.2946499978953571,84.83815296544176,17.636907016879235,46.7651639516774,6.503346382118955,5.387885675800817,1.2627857052658165,0.6524392810540052,1.5784821315822706,0.5892999957907142,0.16837142736877553,13.974828471608369,51.12177463484446,40.28286399797955,72.77854948015322
Alderwood,87,020,39,17,26,10,10,0,0,39,37,12054,2435,1760,1235,2015,7.1,180,3970,180,2490,540,275,300,615,90,55,20,65,35,9535,6.1,6140,4615,1605,14.600962336153975,10.245561639289862,16.716442674630827,1.4932802389248383,32.935125269620045,1.4932802389248383,20.65704330512693,4.479840716774515,2.281400365024058,2.4888003982080638,5.1020408163265305,0.7466401194624191,0.4562800730048117,0.16592002654720425,0.5392400862784138,0.29036004645760743,79.10237265637963,50.9374481499917,38.286046125767385,13.315082130413142
Annex,57,095,279,21,124,47,22,0,5,284,90,30526,10863,2360,3750,5910,18.9,405,8270,255,7270,1125,2145,935,350,300,190,340,605,255,21380,6.7,16205,19905,5010,7.731114459804757,12.284609840791456,19.360545109087333,1.3267378628054773,27.09165956889209,0.835353469173819,23.815763611347705,3.685382952237437,7.026796828932714,3.0629627203040033,1.146563585140536,0.9827687872633165,0.6224202319334339,1.1138046255650922,1.9819170543143547,0.835353469173819,70.03865557229902,53.08589399200682,65.20670903492105,16.412238747297387
Banbury-Don Mills,85,042,86,6,57,18,11,0,2,88,35,27695,2775,3605,2730,6975,11.2,350,13195,115,12700,2825,4630,970,1135,550,110,755,560,210,14290,7.2,14895,15135,10225,13.01679003430222,9.85737497743275,25.185051453330924,1.2637660227477885,47.64397905759162,0.4152374074742733,45.85665282541975,10.20039718360715,16.717819100920746,3.5024372630438707,4.098212673767828,1.9859180357465245,0.39718360714930495,2.726123849070229,2.0220256363964615,0.758259613648673,51.5977613287597,53.78227116808089,54.64885358367937,36.92002166456039
Bathurst Manor,86,034,71,25,33,11,4,0,0,71,40,15873,3377,2325,1940,2940,14.2,575,8020,60,5420,550,655,550,1950,155,150,270,305,35,10165,7.2,8350,7590,3915,14.647514647514647,12.222012222012223,18.52201852201852,3.622503622503623,50.526050526050525,0.378000378000378,34.14603414603415,3.465003465003465,4.126504126504126,3.465003465003465,12.285012285012286,0.9765009765009766,0.945000945000945,1.7010017010017011,1.9215019215019213,0.2205002205002205,64.03956403956403,52.605052605052606,47.81704781704782,24.664524664524663
Bay Street Corridor,94,076,659,26,121,101,40,1,2,662,167,25797,14097,1695,6860,2420,36.1,460,10455,165,15925,2420,7435,775,380,1310,340,615,1340,335,9675,10.2,13595,17230,12865,6.5705314571461795,26.592239407683067,9.38093576772493,1.7831530798154824,40.52796836841493,0.6396092568903361,61.73198433926426,9.38093576772493,28.82118075745242,3.004225297515215,1.4730395007171377,5.078109857735395,1.3179827111679654,2.3839981393185257,5.194402449897275,1.2986006124743188,37.50436097220607,52.69992634802496,66.790712098306,49.870139938752565
Bayview Village,114,052,78,14,33,11,5,0,0,78,30,21396,4195,2415,2505,3615,20.4,410,12625,55,14505,1360,5860,755,765,355,200,2440,1655,180,6635,7.7,11365,13395,12460,11.287156477846326,11.70779584969153,16.89568143578239,1.9162460272948216,59.00635632828566,0.25705739390540283,67.79304542905216,6.356328285660871,27.38829687792111,3.528696952701439,3.57543466068424,1.6591886333894186,0.9347541596560104,11.404000747803329,7.735090671153487,0.8412787436904094,31.010469246588144,53.1174051224528,62.6051598429613,58.23518414656945
Bayview Woods-Steeles,46,049,37,18,33,0,1,0,1,38,19,13154,3240,1515,1635,3685,15.4,150,7535,35,8250,670,4360,530,175,130,135,1015,710,70,4405,8,7125,7070,7135,11.51740915310932,12.42967918503877,28.014292230500224,1.1403375399118139,57.282955754903455,0.2660787593127566,62.71856469514976,5.093507678272768,33.14581116010339,4.0291926410217425,1.3303937965637829,0.9882925345902387,1.0263037859206325,7.716284020069941,5.397597688915919,0.5321575186255132,33.48791242207694,54.16603314581116,53.747909381176825,54.24205564847194
Bedford Park-Nortown,115,039,31,30,100,16,7,0,1,32,53,23236,4209,4555,3210,3980,8.3,345,6805,50,4845,455,1030,315,1790,90,75,305,195,65,18270,5.5,12400,12225,3915,19.603201928042694,13.814770184196936,17.12859356171458,1.484765019796867,29.286452057152694,0.21518333620244448,20.85126527801687,1.9581683594422448,4.432776725770356,1.3556550180754003,7.703563436047513,0.3873300051644001,0.32277500430366673,1.3126183508349114,0.8392150111895335,0.27973833706317786,78.62799104837322,53.36546737820623,52.612325701497674,16.848855224651402
