nta_id,nta_name,pop_white_pct_est,pop_black_pct_est,pop_hisp_pct_est,pop_asian_pct_est,pop_ba_above_pct_est,pop_inpov_pct_est,n_arrest,n_violent_arrest,n_theft_arrest,n_crime,n_violent_crime,n_theft_crime,pop_total_est
BK09,Brooklyn Heights-Cobble Hill,0.7324467206343962,0.042045266809846354,0.07777135304807534,0.09652238559392037,0.7956495924866411,0.08625613565372602,172,21,36,718,45,371,24212
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.6374905808129312,0.06835005392946322,0.09272912634269588,0.18755633043246997,0.40585774058577406,0.15386328542582253,1027,157,212,2547,331,897,67681
BK19,Brighton Beach,0.69299935773924215,0.006618078244114937,0.12015861048281254,0.15093127809890816,0.42973592276773975,0.26121758737316797,495,92,132,1095,177,386,35811
BK21,Seagate-Coney Island,0.3149171270718232,0.31289348580238985,0.25873699087755364,0.08855839650520365,0.2463683904706566,0.3232459458570442,1953,251,416,2751,493,605,31132
BK23,West Brighton,0.9357507909467023,0.013020199561937212,0.03948649306400584,0.008213677293745437,0.5075092094077642,0.1553906059868581,1261,310,312,1027,148,329,16436
BK25,Homecrest,0.7485732051253581,0.014501121449668006,0.11716373165152895,0.0890275587928316,0.37662113686534215,0.18791155009788219,1010,229,220,1444,208,510,45031
BK26,Gravesend,0.4760607240171273,0.08219800181653043,0.16066562864927988,0.2487349163098482,0.31053018469172106,0.19910267247545355,523,74,68,1125,168,332,30828
BK27,Bath Beach,0.44144720799804926,0.013685686417946843,0.17742623750304803,0.34912216532553036,0.33431309904153356,0.15529931305201178,792,183,186,1060,137,308,32808
BK28,Bensonhurst West,0.41571621882853277,0.009794445518396803,0.14413514616491613,0.4130850355478231,0.2734551549708915,0.17579576668282437,1012,172,282,2513,317,1046,93114
BK29,Bensonhurst East,0.443842252668231,0.009688895617288622,0.1279691166452199,0.40115055635455305,0.3049895035942238,0.17966996299217375,592,126,91,1763,243,684,66055
BK30,Dyker Heights,0.4434371041930538,0.007510610403750861,0.13048019020954157,0.40790613959069394,0.2759895606785559,0.1802146210596915,474,58,24,1072,115,345,45003
BK31,Bay Ridge,0.6236349063220118,0.022117022342450655,0.17570884680893697,0.15387987175633705,0.47448117352802,0.14685393681515233,2131,241,296,3566,334,1155,79848
BK32,Sunset Park West,0.17216482229331656,0.03251691403996434,0.6279260852083005,0.150644219506652,0.23993875207349752,0.2805989821696628,2507,412,626,2907,490,879,57201
BK33,Carroll Gardens-Columbia Street-Red Hook,0.6024055061395285,0.11071730729654952,0.19321793611231794,0.05341504127318043,0.6423508103550573,0.13207459854690176,2021,200,189,2176,263,704,43733
BK34,Sunset Park East,0.12696197122916963,0.013958125623130608,0.32056687081612306,0.5261216350947159,0.16385838493236393,0.3226705146155385,1523,221,159,2450,438,876,70210
BK35,Stuyvesant Heights,0.11420020246181835,0.6434471325244642,0.18218629421516702,0.03546016050234005,0.29459972394755,0.2739366021467275,2872,591,502,5087,922,1453,68161
BK37,Park Slope-Gowanus,0.6706157671493345,0.04102011780818275,0.16118180488518355,0.07273259138112144,0.766542737639867,0.0714104227122588,1409,164,535,3116,326,1563,75207
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.43963420127939457,0.2083295792413731,0.19555815839264798,0.11647445715830256,0.6085680573624179,0.21248630887185105,4890,648,1759,5539,751,2307,44396
BK40,Windsor Terrace,0.6693866690318862,0.041820036365249016,0.13960707791919819,0.11907401658610138,0.6635039177277179,0.08589857651245551,137,17,20,487,50,243,22549
BK41,Kensington-Ocean Parkway,0.46553776954623627,0.06514089165233497,0.17544648763063897,0.24934515147506284,0.42032068062827227,0.24956741647810463,224,45,53,855,131,306,37795
BK42,Flatbush,0.23706539074960128,0.4338755980861244,0.19464114832535886,0.10377762588288904,0.3426025545532291,0.19387680430288506,3309,606,864,5387,872,1779,109725
BK43,Midwood,0.7378946206490544,0.05156744425638384,0.0806166752520421,0.11266465523585253,0.4386731581417175,0.23449895519352035,529,109,101,1386,195,500,54356
BK44,Madison,0.6303690260133091,0.017398669086509378,0.09209921355111918,0.23784633998790078,0.408113576351977,0.12578509590901374,423,72,128,1127,131,514,41325
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.6743316391884633,0.11997438122391636,0.10768150076443123,0.08317838105863394,0.38888721668723475,0.06056221579164944,536,68,222,1592,165,791,48402
BK46,Ocean Parkway South,0.8351752148861812,0.011192972513459904,0.08727684896571267,0.03650703693208652,0.42138879790370126,0.19490403706154863,127,23,28,428,49,156,21174
BK50,Canarsie,0.04808037316110513,0.8407001255830642,0.06648053462504486,0.027661912450663795,0.26957146677363286,0.13888229911546413,2402,275,315,4229,640,1121,89184
BK58,Flatlands,0.15241385800518936,0.6955083822916527,0.08469677211190729,0.04740330451850557,0.3088620142743854,0.10345246286477516,1353,272,167,2950,379,847,74383
BK60,Prospect Lefferts Gardens-Wingate,0.16215120991084866,0.6929634132221836,0.09695206668982286,0.022577283779089963,0.2865773195876289,0.21636935062635562,2020,326,312,4008,697,1274,69096
BK61,Crown Heights North,0.16021136351255652,0.6461840169962412,0.1298777941203174,0.03255797061974542,0.32602185562677316,0.2607312758370991,5678,960,1176,8237,1450,2319,110142
BK63,Crown Heights South,0.3065757428153921,0.5852654651729177,0.07479298587433025,0.01322454943984413,0.3426629059087293,0.17432276160716484,1545,328,255,2395,400,686,41060
BK64,Prospect Heights,0.507175457582459,0.2458946972192161,0.10746718110384416,0.07500117630452172,0.6898662026759464,0.11550237882142353,914,104,453,1052,134,414,21253
BK68,Fort Greene,0.28930837463303766,0.3922787966791881,0.18138198806780517,0.09874049054578743,0.49613396368135027,0.21039595786136522,947,155,261,2049,289,833,31679
BK69,Clinton Hill,0.41240374393943324,0.37239752132541676,0.11024397832456118,0.0620965023723716,0.5836232467865382,0.15282463764204163,969,109,213,2163,269,881,38569
BK72,Williamsburg,0.8655277501025611,0.04181562445056555,0.08662017230264314,0.003750805837191584,0.09403606102635229,0.49848951546025355,382,48,171,847,118,297,34126
BK73,North Side-South Side,0.5343000160322069,0.027735717975666672,0.33582129433350555,0.07111174448224879,0.577131719230679,0.18225081990588907,965,156,132,3111,369,1270,56137
BK75,Bedford,0.35698721108199954,0.39323977275675115,0.20236582012503568,0.030221276816519236,0.33764100790940915,0.33256335969514267,2744,563,579,4503,753,1386,77098
BK76,Greenpoint,0.7425667387113734,0.029061276943746713,0.13858870261113382,0.055756761493077865,0.562048426320798,0.12709832134292565,932,140,280,1746,198,666,34238
